n,count(DISTINCT r)
"{date:None,paperId:205280}",11
"{date:None,paperId:7249}",5
"{date:1996/9/5,paperId:9609264}",1
"{date:1995/8/17,paperId:9508322}",19
"{date:None,paperId:10124}",12
"{date:None,paperId:12086}",12
"{date:None,paperId:111265}",12
"{date:1995/11/2,paperId:9511220}",12
"{date:None,paperId:203194}",12
"{date:1994/7/14,paperId:9407300}",9
"{date:None,paperId:210091}",42
"{date:None,paperId:205051}",29
"{date:1998/2/23,paperId:9802400}",11
"{date:None,paperId:1269}",19
"{date:None,paperId:5091}",8
"{date:1998/5/7,paperId:9805250}",35
"{date:None,paperId:7207}",23
"{date:1999/8/18,paperId:9908399}",35
"{date:1998/2/20,paperId:9802380}",12
"{date:None,paperId:207332}",17
"{date:1996/5/14,paperId:9605300}",2
"{date:1992/12/21,paperId:9212297}",5
"{date:1992/7/30,paperId:9207274}",3
"{date:None,paperId:107057}",37
"{date:1994/10/11,paperId:9410266}",43
"{date:1995/1/30,paperId:9501400}",5
"{date:1998/7/10,paperId:9807334}",41
"{date:1995/9/25,paperId:9509380}",15
"{date:None,paperId:12366}",15
"{date:1997/6/18,paperId:9706399}",15
"{date:1999/5/20,paperId:9905423}",61
"{date:None,paperId:110208}",37
"{date:None,paperId:102324}",93
"{date:None,paperId:107161}",22
"{date:1996/8/16,paperId:9608347}",21
"{date:1997/7/11,paperId:9707325}",8
"{date:1996/3/12,paperId:9603279}",30
"{date:1996/2/1,paperId:9602203}",23
"{date:1996/10/18,paperId:9610406}",11
"{date:1997/12/12,paperId:9712358}",12
"{date:None,paperId:101033}",66
"{date:1994/9/5,paperId:9409229}",22
"{date:None,paperId:112013}",42
"{date:1994/6/8,paperId:9406253}",8
"{date:1996/4/2,paperId:9604222}",14
"{date:1997/10/22,paperId:9710441}",38
"{date:1994/8/16,paperId:9408306}",105
"{date:1998/7/3,paperId:9807238}",30
"{date:None,paperId:102195}",10
"{date:1997/11/8,paperId:9711264}",74
"{date:1996/5/23,paperId:9605386}",21
"{date:None,paperId:2124}",1
"{date:None,paperId:112045}",29
"{date:1993/2/2,paperId:9302202}",64
"{date:None,paperId:210434}",6
"{date:1998/11/21,paperId:9811428}",207
"{date:1998/8/13,paperId:9808316}",9
"{date:None,paperId:101355}",3
"{date:None,paperId:210036}",31
"{date:None,paperId:212385}",6
"{date:1999/8/16,paperId:9908366}",8
"{date:1996/11/25,paperId:9611407}",1
"{date:None,paperId:11225}",15
"{date:1994/8/4,paperId:9408234}",65
"{date:1996/6/17,paperId:9606352}",2
"{date:1995/9/7,paperId:9509247}",15
"{date:None,paperId:3235}",9
"{date:None,paperId:301262}",23
"{date:None,paperId:110242}",21
"{date:1997/12/31,paperId:9712547}",14
"{date:1998/9/24,paperId:9809522}",11
"{date:None,paperId:11345}",8
"{date:None,paperId:211264}",37
"{date:None,paperId:111006}",13
"{date:None,paperId:106076}",1
"{date:None,paperId:101229}",29
"{date:None,paperId:103335}",34
"{date:1995/4/6,paperId:9504237}",26
"{date:1995/10/4,paperId:9510223}",13
"{date:1998/12/18,paperId:9812437}",23
"{date:1996/8/6,paperId:9608240}",5
"{date:1992/9/16,paperId:9209246}",5
"{date:1996/12/13,paperId:9612352}",16
"{date:None,paperId:212271}",31
"{date:1997/2/10,paperId:9702296}",14
"{date:1999/1/9,paperId:9901257}",15
"{date:1995/10/17,paperId:9510330}",5
"{date:1997/1/6,paperId:9701227}",31
"{date:None,paperId:107099}",35
"{date:1997/12/7,paperId:9712285}",8
"{date:1999/2/21,paperId:9902418}",14
"{date:1998/4/27,paperId:9804423}",4
"{date:1997/6/20,paperId:9706432}",4
"{date:None,paperId:10276}",5
"{date:None,paperId:3097}",11
"{date:None,paperId:205008}",14
"{date:None,paperId:101110}",27
"{date:1999/3/16,paperId:9903366}",20
"{date:1999/3/16,paperId:9903370}",45
"{date:1996/7/11,paperId:9607288}",13
"{date:1994/9/21,paperId:9409384}",12
"{date:1992/9/18,paperId:9209253}",6
"{date:None,paperId:106108}",20
"{date:None,paperId:1260}",42
"{date:1996/5/8,paperId:9605252}",12
"{date:None,paperId:7270}",54
"{date:None,paperId:106139}",87
"{date:1998/2/20,paperId:9802376}",6
"{date:1999/9/8,paperId:9909298}",17
"{date:1994/8/3,paperId:9408226}",18
"{date:1996/7/30,paperId:9607467}",15
"{date:None,paperId:302043}",11
"{date:1994/10/6,paperId:9410237}",49
"{date:1997/4/21,paperId:9704366}",14
"{date:1997/4/2,paperId:9704215}",19
"{date:None,paperId:302140}",44
"{date:1997/10/21,paperId:9710424}",7
"{date:None,paperId:12099}",23
"{date:1998/6/18,paperId:9806400}",101
"{date:None,paperId:111455}",15
"{date:None,paperId:103116}",9
"{date:1996/4/1,paperId:9604209}",22
"{date:1996/1/30,paperId:9601366}",1
"{date:1993/6/3,paperId:9306222}",10
"{date:1993/10/9,paperId:9310255}",4
"{date:1996/8/7,paperId:9608256}",46
"{date:1993/6/18,paperId:9306290}",61
"{date:1998/6/5,paperId:9806272}",65
"{date:None,paperId:6126}",4
"{date:None,paperId:11360}",50
"{date:1999/5/18,paperId:9905360}",7
"{date:1996/1/12,paperId:9601258}",4
"{date:1999/3/11,paperId:9903321}",2
"{date:None,paperId:111312}",23
"{date:None,paperId:209023}",7
"{date:None,paperId:112350}",5
"{date:1994/5/10,paperId:9405260}",8
"{date:None,paperId:10158}",8
"{date:None,paperId:106074}",3
"{date:1999/1/11,paperId:9901270}",3
"{date:None,paperId:207210}",17
"{date:None,paperId:211020}",2
"{date:1995/4/28,paperId:9504428}",8
"{date:None,paperId:209194}",11
"{date:None,paperId:2189}",13
"{date:None,paperId:108086}",11
"{date:None,paperId:107201}",31
"{date:1997/5/30,paperId:9705476}",5
"{date:1999/7/13,paperId:9907323}",18
"{date:None,paperId:9163}",22
"{date:1995/2/2,paperId:9502218}",2
"{date:1994/5/12,paperId:9405273}",29
"{date:1998/5/21,paperId:9805412}",4
"{date:1992/9/23,paperId:9209270}",4
"{date:1994/2/22,paperId:9402338}",3
"{date:1998/11/2,paperId:9811214}",7
"{date:None,paperId:208235}",10
"{date:1996/5/2,paperId:9605204}",7
"{date:1995/6/22,paperId:9506391}",19
"{date:None,paperId:203271}",48
"{date:None,paperId:102224}",22
"{date:1996/11/8,paperId:9611281}",7
"{date:1997/12/17,paperId:9712407}",2
"{date:1994/6/9,paperId:9406265}",1
"{date:1993/8/4,paperId:9308226}",34
"{date:None,paperId:111377}",56
"{date:1998/6/8,paperId:9806305}",82
"{date:None,paperId:209298}",14
"{date:1997/11/18,paperId:9711371}",62
"{date:None,paperId:6179}",12
"{date:1995/5/15,paperId:9505313}",17
"{date:1997/9/24,paperId:9709446}",12
"{date:1996/6/20,paperId:9606388}",202
"{date:1998/8/19,paperId:9808364}",12
"{date:1999/10/13,paperId:9910320}",76
"{date:1994/6/8,paperId:9406258}",39
"{date:None,paperId:208060}",8
"{date:1998/5/25,paperId:9805443}",9
"{date:1997/6/4,paperId:9706249}",23
"{date:1998/7/13,paperId:9807361}",40
"{date:1999/2/15,paperId:9902344}",6
"{date:1996/3/13,paperId:9603298}",15
"{date:None,paperId:205178}",11
"{date:None,paperId:7226}",89
"{date:1998/6/25,paperId:9806478}",9
"{date:1998/7/8,paperId:9807283}",90
"{date:None,paperId:212319}",41
"{date:1997/5/21,paperId:9705383}",19
"{date:None,paperId:101025}",63
"{date:1998/11/13,paperId:9811317}",7
"{date:None,paperId:205283}",24
"{date:1999/9/16,paperId:9909408}",27
"{date:None,paperId:5111}",5
"{date:None,paperId:210329}",4
"{date:1993/4/18,paperId:9304266}",20
"{date:None,paperId:211311}",9
"{date:1996/4/12,paperId:9604312}",22
"{date:1999/8/30,paperId:9908503}",4
"{date:1994/11/18,paperId:9411338}",50
"{date:1995/8/1,paperId:9508203}",6
"{date:None,paperId:11364}",44
"{date:1996/9/6,paperId:9609276}",71
"{date:1994/9/22,paperId:9409394}",7
"{date:None,paperId:203050}",14
"{date:1998/6/19,paperId:9806418}",3
"{date:1996/12/17,paperId:9612383}",24
"{date:None,paperId:110218}",25
"{date:None,paperId:203045}",16
"{date:None,paperId:7256}",47
"{date:1993/7/20,paperId:9307310}",8
"{date:None,paperId:3021}",36
"{date:1995/2/7,paperId:9502240}",15
"{date:1998/5/29,paperId:9805506}",1
"{date:None,paperId:210032}",32
"{date:1995/7/6,paperId:9507241}",3
"{date:1999/10/23,paperId:9910459}",3
"{date:1996/11/11,paperId:9611300}",13
"{date:1998/9/10,paperId:9809320}",9
"{date:None,paperId:204282}",43
"{date:None,paperId:110228}",5
"{date:1996/4/4,paperId:9604249}",7
"{date:1999/12/15,paperId:9912362}",15
"{date:None,paperId:102336}",23
"{date:1992/5/8,paperId:9205212}",10
"{date:1995/12/14,paperId:9512301}",22
"{date:1998/10/16,paperId:9810391}",5
"{date:1997/4/2,paperId:9704209}",7
"{date:1996/10/14,paperId:9610352}",11
"{date:1998/2/14,paperId:9802323}",18
"{date:1998/5/7,paperId:9805251}",25
"{date:None,paperId:102021}",26
"{date:1998/12/3,paperId:9812240}",6
"{date:1996/12/10,paperId:9612319}",17
"{date:1992/9/28,paperId:9209289}",71
"{date:None,paperId:108189}",32
"{date:1994/4/23,paperId:9404327}",21
"{date:1999/3/3,paperId:9903240}",34
"{date:None,paperId:12209}",12
"{date:None,paperId:3115}",39
"{date:1994/8/4,paperId:9408235}",5
"{date:1996/3/26,paperId:9603410}",27
"{date:1998/12/1,paperId:9812209}",54
"{date:None,paperId:1043}",10
"{date:1996/8/23,paperId:9608432}",5
"{date:1996/6/4,paperId:9606217}",31
"{date:1998/8/26,paperId:9808423}",21
"{date:1992/12/6,paperId:9212227}",6
"{date:1995/2/22,paperId:9502370}",8
"{date:1997/5/10,paperId:9705286}",72
"{date:1994/7/13,paperId:9407286}",2
"{date:1997/9/17,paperId:9709379}",80
"{date:1998/3/22,paperId:9803418}",16
"{date:1996/9/25,paperId:9609472}",16
"{date:1998/8/14,paperId:9808333}",89
"{date:1998/3/18,paperId:9803383}",16
"{date:None,paperId:102174}",27
"{date:1997/1/12,paperId:9701269}",2
"{date:None,paperId:212328}",2
"{date:1999/7/27,paperId:9907511}",14
"{date:1998/6/9,paperId:9806318}",3
"{date:1993/9/15,paperId:9309264}",1
"{date:None,paperId:101071}",2
"{date:1993/1/27,paperId:9301286}",8
"{date:1996/9/18,paperId:9609398}",20
"{date:1996/8/14,paperId:9608317}",61
"{date:None,paperId:103220}",24
"{date:1995/4/26,paperId:9504394}",3
"{date:1997/12/19,paperId:9712461}",1
"{date:1995/6/26,paperId:9506427}",52
"{date:1998/9/14,paperId:9809383}",9
"{date:1993/4/6,paperId:9304225}",338
"{date:None,paperId:2219}",5
"{date:None,paperId:208021}",7
"{date:1995/8/2,paperId:9508214}",13
"{date:1995/11/16,paperId:9511337}",27
"{date:None,paperId:212354}",11
"{date:None,paperId:212329}",6
"{date:None,paperId:10181}",50
"{date:None,paperId:103225}",8
"{date:1992/5/29,paperId:9205246}",7
"{date:1998/2/28,paperId:9803205}",6
"{date:None,paperId:302187}",11
"{date:1993/8/31,paperId:9308372}",1
"{date:1999/11/2,paperId:9911202}",48
"{date:None,paperId:208004}",12
"{date:None,paperId:6094}",3
"{date:1995/9/21,paperId:9509350}",7
"{date:1998/2/10,paperId:9802293}",9
"{date:None,paperId:207005}",41
"{date:None,paperId:205149}",10
"{date:1998/7/9,paperId:9807311}",5
"{date:1998/8/24,paperId:9808402}",18
"{date:None,paperId:211116}",24
"{date:1996/12/19,paperId:9612410}",7
"{date:1997/7/31,paperId:9707533}",5
"{date:1996/9/10,paperId:9609319}",5
"{date:1999/8/19,paperId:9908414}",18
"{date:1999/12/14,paperId:9912341}",20
"{date:None,paperId:112137}",4
"{date:None,paperId:105171}",9
"{date:1994/12/8,paperId:9412258}",11
"{date:None,paperId:201132}",12
"{date:1995/9/1,paperId:9509201}",37
"{date:1996/1/10,paperId:9601235}",13
"{date:1996/8/20,paperId:9608375}",12
"{date:None,paperId:302124}",9
"{date:None,paperId:210328}",4
"{date:None,paperId:109288}",20
"{date:None,paperId:2210}",18
"{date:1992/9/15,paperId:9209242}",4
"{date:None,paperId:105273}",19
"{date:1998/7/7,paperId:9807280}",18
"{date:1997/1/15,paperId:9701299}",18
"{date:1993/1/22,paperId:9301262}",10
"{date:None,paperId:210105}",7
"{date:1998/8/7,paperId:9808255}",57
"{date:1998/12/8,paperId:9812280}",43
"{date:None,paperId:1058}",22
"{date:None,paperId:6278}",58
"{date:1998/5/27,paperId:9805477}",14
"{date:1998/6/30,paperId:9806541}",32
"{date:None,paperId:110291}",32
"{date:1999/12/12,paperId:9912313}",24
"{date:None,paperId:201239}",3
"{date:1998/6/5,paperId:9806280}",39
"{date:1994/5/13,paperId:9405290}",37
"{date:1999/12/23,paperId:9912492}",61
"{date:None,paperId:111418}",54
"{date:None,paperId:7005}",40
"{date:1999/4/9,paperId:9904287}",43
"{date:1996/7/18,paperId:9607370}",41
"{date:1997/8/14,paperId:9708350}",49
"{date:1993/7/26,paperId:9307332}",2
"{date:1999/7/6,paperId:9907257}",15
"{date:None,paperId:102304}",47
"{date:1996/3/19,paperId:9603349}",40
"{date:1993/8/27,paperId:9308349}",139
"{date:1992/9/16,paperId:9209245}",48
"{date:None,paperId:110103}",2
"{date:1997/8/29,paperId:9708484}",22
"{date:1997/11/19,paperId:9711388}",2
"{date:None,paperId:10017}",144
"{date:None,paperId:105241}",6
"{date:1998/6/23,paperId:9806449}",6
"{date:1993/7/19,paperId:9307301}",135
"{date:1992/3/11,paperId:9203209}",1
"{date:None,paperId:111211}",10
"{date:1996/6/14,paperId:9606341}",4
"{date:1993/1/25,paperId:9301268}",40
"{date:1999/10/29,paperId:9910543}",43
"{date:None,paperId:210048}",42
"{date:1998/5/18,paperId:9805363}",11
"{date:1999/10/26,paperId:9910496}",44
"{date:None,paperId:208005}",25
"{date:1998/8/9,paperId:9808270}",98
"{date:None,paperId:105046}",21
"{date:1997/8/27,paperId:9708477}",13
"{date:None,paperId:7037}",31
"{date:1997/5/9,paperId:9705281}",4
"{date:None,paperId:106056}",33
"{date:1994/6/27,paperId:9406403}",10
"{date:1999/10/12,paperId:9910302}",4
"{date:1999/8/16,paperId:9908369}",39
"{date:None,paperId:207232}",15
"{date:1996/2/26,paperId:9602400}",6
"{date:1996/7/7,paperId:9607249}",10
"{date:None,paperId:203061}",57
"{date:None,paperId:107112}",32
"{date:1995/10/24,paperId:9510390}",3
"{date:None,paperId:206044}",1
"{date:None,paperId:210126}",3
"{date:None,paperId:11397}",11
"{date:1997/9/9,paperId:9709295}",27
"{date:None,paperId:12080}",21
"{date:None,paperId:9014}",43
"{date:1998/7/10,paperId:9807322}",4
"{date:1995/10/10,paperId:9510260}",7
"{date:None,paperId:7174}",25
"{date:1999/1/7,paperId:9901242}",33
"{date:1999/11/14,paperId:9911349}",50
"{date:None,paperId:211399}",2
"{date:None,paperId:12370}",43
"{date:1997/11/18,paperId:9711369}",18
"{date:1994/12/6,paperId:9412246}",4
"{date:1998/8/6,paperId:9808242}",39
"{date:None,paperId:107061}",17
"{date:1997/6/16,paperId:9706377}",107
"{date:None,paperId:201130}",44
"{date:1997/3/22,paperId:9703392}",8
"{date:1995/3/24,paperId:9503433}",123
"{date:None,paperId:107220}",129
"{date:1996/3/13,paperId:9603305}",9
"{date:1997/1/15,paperId:9701301}",107
"{date:1998/1/16,paperId:9801330}",45
"{date:1993/11/4,paperId:9311222}",118
"{date:1997/6/5,paperId:9706268}",26
"{date:1992/6/26,paperId:9206255}",9
"{date:1998/10/8,paperId:9810291}",89
"{date:None,paperId:103058}",46
"{date:1995/4/24,paperId:9504383}",9
"{date:1993/7/22,paperId:9307322}",78
"{date:1997/8/7,paperId:9708272}",49
"{date:None,paperId:204125}",11
"{date:1999/7/5,paperId:9907240}",116
"{date:1997/12/3,paperId:9712251}",58
"{date:None,paperId:210327}",25
"{date:1996/12/24,paperId:9612464}",100
"{date:1996/2/8,paperId:9602257}",1
"{date:1999/5/31,paperId:9905574}",4
"{date:1999/11/23,paperId:9911459}",144
"{date:1992/8/21,paperId:9208236}",27
"{date:None,paperId:212099}",26
"{date:None,paperId:204162}",3
"{date:1998/5/12,paperId:9805291}",14
"{date:1999/7/28,paperId:9907527}",2
"{date:1997/6/23,paperId:9706463}",5
"{date:1998/2/27,paperId:9802445}",119
"{date:1995/5/19,paperId:9505342}",1
"{date:1998/2/3,paperId:9802234}",11
"{date:1999/5/3,paperId:9905210}",7
"{date:1995/5/11,paperId:9505287}",2
"{date:1995/3/18,paperId:9503375}",31
"{date:None,paperId:111353}",4
"{date:None,paperId:211105}",24
"{date:None,paperId:12024}",45
"{date:None,paperId:211247}",20
"{date:1998/12/15,paperId:9812373}",12
"{date:1996/3/31,paperId:9603449}",44
"{date:1994/7/25,paperId:9407369}",14
"{date:None,paperId:1098}",33
"{date:1996/6/27,paperId:9606459}",10
"{date:None,paperId:202094}",28
"{date:1993/5/27,paperId:9305341}",5
"{date:None,paperId:205133}",19
"{date:1999/1/4,paperId:9901204}",15
"{date:1995/12/1,paperId:9512210}",4
"{date:None,paperId:1225}",10
"{date:1995/12/4,paperId:9512222}",4
"{date:None,paperId:212378}",15
"{date:1998/1/30,paperId:9801455}",1
"{date:None,paperId:201217}",26
"{date:None,paperId:109279}",10
"{date:1998/8/18,paperId:9808354}",23
"{date:None,paperId:9206}",30
"{date:1999/1/12,paperId:9901283}",29
"{date:1996/9/16,paperId:9609367}",4
"{date:1993/4/27,paperId:9304306}",1
"{date:1999/1/20,paperId:9901356}",4
"{date:1995/8/9,paperId:9508269}",8
"{date:None,paperId:102076}",10
"{date:1999/9/16,paperId:9909406}",25
"{date:1992/11/20,paperId:9211286}",42
"{date:1997/4/14,paperId:9704319}",22
"{date:1995/6/18,paperId:9506355}",15
"{date:None,paperId:211251}",52
"{date:1997/4/22,paperId:9704376}",311
"{date:1999/3/9,paperId:9903299}",26
"{date:1997/7/31,paperId:9707546}",73
"{date:None,paperId:211314}",18
"{date:1995/5/26,paperId:9505384}",36
"{date:1995/5/15,paperId:9505307}",13
"{date:None,paperId:3178}",31
"{date:1995/2/1,paperId:9502201}",27
"{date:1992/6/12,paperId:9206219}",9
"{date:1995/12/21,paperId:9512394}",4
"{date:1995/8/14,paperId:9508302}",85
"{date:1998/7/24,paperId:9807490}",12
"{date:1997/2/11,paperId:9702307}",66
"{date:None,paperId:6061}",10
"{date:1994/4/5,paperId:9404218}",12
"{date:None,paperId:201271}",18
"{date:1995/10/13,paperId:9510287}",74
"{date:1995/11/9,paperId:9511283}",1
"{date:1998/11/28,paperId:9811500}",63
"{date:1997/3/17,paperId:9703347}",30
"{date:None,paperId:5017}",2
"{date:1998/8/26,paperId:9808419}",54
"{date:None,paperId:206299}",34
"{date:None,paperId:107081}",61
"{date:None,paperId:207204}",31
"{date:1996/2/13,paperId:9602291}",6
"{date:1998/9/16,paperId:9809416}",2
"{date:1999/10/27,paperId:9910521}",28
"{date:1998/5/22,paperId:9805427}",40
"{date:None,paperId:11001}",12
"{date:None,paperId:112212}",12
"{date:1993/11/2,paperId:9311214}",145
"{date:None,paperId:206298}",2
"{date:1998/12/17,paperId:9812411}",14
"{date:None,paperId:210390}",125
"{date:1999/12/3,paperId:9912234}",27
"{date:1996/7/14,paperId:9607308}",3
"{date:None,paperId:102215}",17
"{date:None,paperId:302107}",18
"{date:1999/9/7,paperId:9909278}",23
"{date:None,paperId:211352}",35
"{date:1993/2/2,paperId:9302205}",6
"{date:None,paperId:111305}",9
"{date:None,paperId:201203}",6
"{date:1994/10/31,paperId:9411207}",48
"{date:1999/4/22,paperId:9904431}",6
"{date:None,paperId:203094}",15
"{date:1993/7/21,paperId:9307313}",2
"{date:None,paperId:204194}",45
"{date:1992/11/6,paperId:9211224}",4
"{date:1997/9/3,paperId:9709225}",33
"{date:None,paperId:3079}",9
"{date:1998/9/13,paperId:9809354}",11
"{date:1998/1/14,paperId:9801304}",31
"{date:None,paperId:212344}",5
"{date:1999/10/19,paperId:9910391}",25
"{date:1992/11/9,paperId:9211231}",7
"{date:1998/9/4,paperId:9809272}",16
"{date:None,paperId:110034}",33
"{date:None,paperId:212132}",42
"{date:1997/12/9,paperId:9712311}",5
"{date:None,paperId:101343}",7
"{date:1993/3/9,paperId:9303237}",14
"{date:None,paperId:106237}",12
"{date:None,paperId:205289}",25
"{date:1999/5/27,paperId:9905505}",28
"{date:1996/7/5,paperId:9607246}",7
"{date:1997/3/26,paperId:9703434}",37
"{date:1998/12/15,paperId:9812372}",5
"{date:1997/9/18,paperId:9709389}",7
"{date:1994/8/3,paperId:9408223}",19
"{date:1998/10/22,paperId:9810448}",4
"{date:1993/12/22,paperId:9312329}",17
"{date:1996/12/11,paperId:9612325}",12
"{date:1994/3/24,paperId:9403361}",29
"{date:1997/1/6,paperId:9701229}",89
"{date:1999/11/10,paperId:9911305}",10
"{date:None,paperId:206150}",10
"{date:None,paperId:3005}",6
"{date:1993/4/9,paperId:9304241}",32
"{date:1997/9/18,paperId:9709388}",131
"{date:None,paperId:111148}",6
"{date:1999/4/1,paperId:9903554}",39
"{date:1993/1/26,paperId:9301277}",7
"{date:None,paperId:112081}",77
"{date:1993/4/22,paperId:9304291}",1
"{date:1998/7/14,paperId:9807376}",5
"{date:None,paperId:10005}",1
"{date:1999/11/15,paperId:9911367}",35
"{date:1992/10/20,paperId:9210253}",169
"{date:1995/5/1,paperId:9505202}",4
"{date:None,paperId:3089}",54
"{date:1996/11/25,paperId:9611416}",8
"{date:None,paperId:2246}",33
"{date:None,paperId:110019}",22
"{date:1992/7/20,paperId:9207249}",20
"{date:1995/7/21,paperId:9507372}",24
"{date:None,paperId:212239}",11
"{date:1997/3/19,paperId:9703364}",13
"{date:1996/8/20,paperId:9608383}",3
"{date:1999/7/12,paperId:9907299}",10
"{date:1998/5/25,paperId:9805446}",18
"{date:None,paperId:212105}",13
"{date:1994/6/23,paperId:9406376}",4
"{date:1995/5/15,paperId:9505304}",50
"{date:1997/7/24,paperId:9707446}",4
"{date:1997/9/6,paperId:9709269}",1
"{date:1997/6/1,paperId:9706204}",6
"{date:1999/10/1,paperId:9910207}",6
"{date:1996/8/19,paperId:9608361}",52
"{date:None,paperId:202036}",4
